City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Pundaguitan,PH,6.3711,126.1689,80.83,81,100,7.31,overcast clouds
252,Harbour Breton,CA,47.4833,-55.7983,36.75,98,100,7.23,overcast clouds
253,Omboue,GA,-1.5746,9.2618,78.94,88,91,5.7,overcast clouds
254,Cabo San Lucas,MX,22.8909,-109.9124,86.61,29,20,10.36,few clouds
255,Kavaratti,IN,10.5669,72.642,84.02,72,79,9.24,broken clouds
256,Port-Gentil,GA,-0.7193,8.7815,82.36,83,75,6.91,broken clouds
257,Ler,SS,8.3018,30.1418,84.69,44,96,5.55,overcast clouds
258,Korampallam,IN,8.7667,78.1,84.83,65,100,7.11,overcast clouds
259,Kharan,PK,28.5833,65.4167,80.74,20,2,5.77,clear sky
260,Caravelas,BR,-17.7125,-39.2481,75.11,80,0,5.39,clear sky
261,Abu Samrah,SY,35.3029,37.1841,59.49,77,0,9.53,clear sky
262,Maragogi,BR,-9.0122,-35.2225,77.45,86,74,8.46,broken clouds
263,Amga,RU,60.8953,131.9608,37.53,75,3,10.29,clear sky
264,Mehamn,NO,71.0357,27.8492,22.91,79,75,5.75,broken clouds
265,Torbay,CA,47.6666,-52.7314,47.17,85,75,6.91,broken clouds
266,Lieksa,FI,63.3167,30.0167,33.94,94,100,5.12,overcast clouds
267,Spencer,US,43.1414,-95.1444,48.7,79,100,17.25,overcast clouds
268,Palasa,IN,18.7667,84.4167,81.19,86,85,13.85,overcast clouds
269,Banda Aceh,ID,5.5577,95.3222,80.19,80,98,12.71,overcast clouds
270,Nalut,LY,30.3333,10.85,58.98,55,0,10.18,clear sky
271,Airai,TL,-8.9266,125.4092,58.41,80,73,3.65,broken clouds
272,Laguna,US,38.421,-121.4238,82.69,25,0,16.11,clear sky
273,Ust-Kulom,RU,61.6864,53.6902,25.21,90,75,3.38,broken clouds
274,Bahia Blanca,AR,-38.7196,-62.2724,52.38,68,100,6.02,overcast clouds
275,Katherine,AU,-14.4667,132.2667,70.12,78,14,4.61,few clouds
276,Yar-Sale,RU,66.8333,70.8333,7.52,92,14,6.4,few clouds
277,Geraldton,AU,-28.7667,114.6,50.41,87,0,5.75,clear sky
278,Sambava,MG,-14.2667,50.1667,76.95,86,54,7.23,broken clouds
279,Saint-Joseph,RE,-21.3667,55.6167,73.2,82,2,3.56,clear sky
280,Saint-Augustin,CA,51.226,-58.6502,35.17,80,100,20.98,snow
281,Pevek,RU,69.7008,170.3133,13.21,72,95,7.11,overcast clouds
282,Grindavik,IS,63.8424,-22.4338,41.47,75,0,3.44,clear sky
283,Buluang,PH,13.3068,123.3425,74.98,90,98,2.98,overcast clouds
284,Bolkhov,RU,53.4433,36.0044,41.31,74,98,7.18,overcast clouds
285,Witu,KE,-2.3889,40.4382,82.56,84,96,12.19,light rain
286,Matay,EG,28.419,30.7792,76.77,24,7,8.32,clear sky
287,Beloha,MG,-25.1667,45.05,66.15,83,3,4.47,clear sky
288,Kiunga,PG,-6.1219,141.2906,76.91,87,76,1.52,broken clouds
289,Aklavik,CA,68.2191,-135.0107,39.36,83,51,15.84,broken clouds
290,Lahad Datu,MY,5.0268,118.327,74.86,92,53,3.83,broken clouds
291,Uglekamensk,RU,43.2172,133.2303,38.86,92,89,2.46,light rain
292,Shaowu,CN,27.3409,117.4831,54.59,96,100,1.72,overcast clouds
293,Mecca,SA,21.4267,39.8261,82.44,66,2,2.53,clear sky
294,Taltal,CL,-25.4,-70.4833,62.11,79,23,4.34,few clouds
295,Aksarka,RU,66.5606,67.7975,6.42,93,17,5.19,few clouds
296,Dikson,RU,73.5069,80.5464,5.58,98,99,11.18,overcast clouds
297,Jardim,BR,-21.4803,-56.1381,81.54,41,86,0.67,overcast clouds
298,Hasaki,JP,35.7333,140.8333,50.4,61,100,19.37,overcast clouds
299,Poum,NC,-20.2333,164.0167,77.92,78,10,4.16,clear sky
300,Nabire,ID,-3.3667,135.4833,76.46,91,99,3.49,overcast clouds
301,Winfield,US,37.2398,-96.9956,75.45,34,95,5.75,overcast clouds
302,Thanatpin,MM,17.2119,96.3033,77.18,72,59,3.98,broken clouds
303,Sarkhej,IN,22.9833,72.5,89.73,51,0,6.91,smoke
304,Tautira,PF,-17.7333,-149.15,79.32,74,40,6.67,light rain
305,Oranjemund,NA,-28.55,16.4333,62.98,41,0,2.95,clear sky
306,Seryshevo,RU,51.0933,128.3786,42.58,38,100,3.02,overcast clouds
307,Wanning,CN,18.8003,110.3967,69.91,94,100,16.55,overcast clouds
308,Carnarvon,AU,-24.8667,113.6333,59.07,82,0,6.91,clear sky
309,Quatre Cocos,MU,-20.2078,57.7625,74.08,82,6,4.0,clear sky
310,Hervey Bay,AU,-25.2986,152.8535,67.01,95,100,4.0,light rain
311,Isny,DE,47.7,10.0333,46.24,71,20,2.98,few clouds
312,Belaya Gora,RU,68.5333,146.4167,26.56,92,71,7.0,broken clouds
313,Armidale,AU,-30.5167,151.65,52.03,83,17,5.99,few clouds
314,Dezhou,CN,37.4486,116.2925,58.15,36,5,4.72,clear sky
315,Humaita,BR,-7.5061,-63.0208,76.69,92,69,2.01,broken clouds
316,Kudahuvadhoo,MV,2.6708,72.8944,85.95,72,94,19.82,overcast clouds
317,Ilhabela,BR,-23.7781,-45.3581,73.78,86,17,3.24,few clouds
318,Baherden,TM,38.4362,57.4316,64.2,82,100,4.7,moderate rain
319,Lodja,CD,-3.4833,23.4333,67.14,97,100,0.94,overcast clouds
320,Yeppoon,AU,-23.1333,150.7333,69.58,87,96,13.69,overcast clouds
321,Ilulissat,GL,69.2167,-51.1,26.62,50,51,4.61,broken clouds
322,Coquimbo,CL,-29.9533,-71.3436,60.53,77,0,13.8,clear sky
323,Meulaboh,ID,4.1363,96.1285,76.68,88,100,3.87,overcast clouds
324,Intipuca,SV,13.1969,-88.0544,87.13,59,87,6.78,overcast clouds
325,Pinhao,BR,-25.6956,-51.6597,59.77,97,51,1.74,broken clouds
326,Mata Grande,BR,-9.1175,-37.7322,73.9,61,99,11.77,overcast clouds
327,Bathsheba,BB,13.2167,-59.5167,83.01,74,40,14.97,scattered clouds
328,Chardara,KZ,41.2547,67.9692,71.01,44,98,9.89,overcast clouds
329,Christchurch,NZ,-43.5333,172.6333,60.94,82,100,3.44,overcast clouds
330,Norden,DE,53.6,7.2,44.94,78,27,4.59,scattered clouds
331,Weligama,LK,5.9667,80.4167,79.34,88,96,11.72,overcast clouds
332,Tsiroanomandidy,MG,-18.7667,46.0333,60.1,81,3,2.73,clear sky
333,Baykit,RU,61.67,96.37,21.29,93,65,2.66,broken clouds
334,Nishihara,JP,26.1842,127.7558,61.88,83,100,12.66,light rain
335,Rio Hato,PA,8.3833,-80.1667,80.15,78,40,3.44,scattered clouds
336,Henties Bay,NA,-22.116,14.2845,62.46,71,0,2.13,clear sky
337,Ndjole,GA,-0.1783,10.7649,76.01,97,96,2.01,light rain
338,Shirokiy,RU,49.758,129.523,43.2,53,91,4.85,overcast clouds
339,Nagato,JP,34.3833,131.2,57.96,64,69,11.23,broken clouds
340,Tibu,CO,8.639,-72.7358,90.84,55,31,3.02,scattered clouds
341,Antofagasta,CL,-23.65,-70.4,61.88,81,21,7.52,few clouds
342,Ulladulla,AU,-35.35,150.4667,50.9,67,9,3.29,clear sky
343,Banjar,ID,-8.19,114.9675,76.98,90,99,3.96,overcast clouds
344,Yumen,CN,40.2833,97.2,44.73,18,3,2.68,clear sky
345,Ambon,ID,-3.6954,128.1814,77.14,94,40,8.05,scattered clouds
346,Les Cayes,HT,18.2,-73.75,77.31,86,100,11.97,overcast clouds
